"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Cantina Giardino Winery, Italy","Contrada Petrara, 21/B, 83031 Ariano Irpino AV, Italy","[41.158139, 15.099152]"
"Giuseppe Apicella Winery, Italy","Via Tommaso Cuomo, 51, 84013 Cava de' Tirreni SA, Italy","[40.7016397, 14.7059908]"
"Librandi Winery, Italy","Strada Statale 106 Jonica, 88811 Cirò Marina KR, Italy","[39.3764658, 17.1178307]"
"Apolloni Winery, US","14135 NW Timmerman Rd, Forest Grove, OR 97116, USA","[45.622118, -123.21837]"
"CVNE Winery, Spain","Barrio de la Estación, s/n, 26200 Haro, La Rioja, Spain","[42.581753, -2.848281]"
"Foppiano Winery, US","12707 Old Redwood Hwy, Healdsburg, CA 95448, USA","[38.5897093, -122.8503748]"
"GMG Vinicola Winery, Italy","Str. Monferrato, 2, 14023 Cocconato AT, Italy","[45.0847217, 8.068674900000001]"
"Hans Moser Winery, Austria","St. Georgener Hauptstraße 13, 7000 St. Georgen am Leithagebirge, Austria","[47.8539681, 16.5509887]"
"Oriol Rossell Winery, Spain","Can Casanyes, S/N, 08732 La Gornal, Barcelona, Spain","[41.298186, 1.611042]"
"Retour Winery, US","336 NE Davis St, McMinnville, 97128, United States","[45.2105438, -123.1953612]"
"Roux Père et Fils Winery, France","42 Rue des Lavières, 21190 Saint-Aubin, France","[46.946013, 4.704598]"
"Broken Earth Winery, US","5625 Highway 46 East, Paso Robles, CA 93446, United States","[35.658952, -120.595185]"
"Township 7 Winery, Canada","21152 16 Ave, Langley, BC V2Z 1K3, Canada","[49.0312346, -122.6361974]"
"Château de Chatelard Winery, France","307 Le Châtelard, 69220 Lancie, France","[46.1698044, 4.713786499999999]"
"Cougar Winery, US","39870 De Portola Rd, Temecula, CA 92592, USA","[33.542633, -117.0092766]"
"Dusted Valley Winery, US","1248 Old Milton Hwy, Walla Walla, WA 99362, USA","[46.0243536, -118.3512532]"
"Ehlers Estate Winery, US","3222 Ehlers Ln, St Helena, CA 94574, USA","[38.5318828, -122.4981484]"
"Foley Winery, US","6121 California 246, Lompoc, CA 93436, USA","[34.6477681, -120.3037878]"
"Gernot and Heike Heinrich Winery, Austria","Baumgarten 60, 7122 Gols, Austria","[47.89622319999999, 16.9241329]"
"Chateau de Manissy Winery, France","Route Roquemaure, 30126 Tavel, France","[44.014546, 4.726128999999999]"
"Poggio al Tesoro Winery, Italy","Strada Provinciale Bolgherese, 57022 Castagneto Carducci LI, Italy","[43.2076609, 10.6123075]"
"Rainer Wess Winery, Austria","Sandgrube 24, 3500 Krems an der Donau, Austria","[48.4238575, 15.6228056]"
"Telaya Winery, US","6609, 240 E 32nd St, Garden City, ID 83714, United States","[43.62247319999999, -116.2354528]"
"Thirty-Seven Wines, US","3000 Sears Point Rd, Sonoma, CA 95476, USA","[38.1498447, -122.4500503]"
"Jax Winery, US","326 Brannan St, San Francisco, CA 94107, USA","[37.7815267, -122.3929119]"
"Louis Barthélémy Winery, France","6 Rue Jules Lobet, 51160 Ay, France","[49.0546071, 4.0069661]"
"Mailly Grand Cru Winery, France","28 Rue de la Libération, 51500 Mailly-Champagne, France","[49.1579588, 4.1081063]"
"Pioiero Winery, Italy","cascina Pioiero 1, 12040 Vezza d'Alba CN, Italy","[44.762891, 8.024727]"
"Reininger Winery, US","5858 Old Hwy 12, Walla Walla, WA 99362, USA","[46.051969, -118.4597389]"
"Tegernseerhof Winery, Austria","Unterloiben 12, 3601 Dürnstein, Austria","[48.3877445, 15.5430448]"
"Jäger Winery, Austria","Kremser Str. 1, 3610 Weißenkirchen in der Wachau, Austria","[48.4001356, 15.4738455]"
"Le Macchiole Winery, Italy","Strada Provinciale Bolgherese, 189/A, 57022 Bolgheri, Castagneto Carducci LI, Italy","[43.2078087, 10.6117048]"
"Château Beaumont Winery, France","28 Rue Beaumont Nord, 33460 Cussac-Fort-Médoc, France","[45.1087234, -0.7443881]"
"Château Clément-Pichon Winery, France","30 Avenue du Château Pichon, 33290 Parempuyre, France","[44.9421276, -0.6000000999999999]"
"Château Larose Perganson Winery, France","D206, route de pauillac, lieu dit Trintaudon, 33112 Saint-Laurent-Médoc, France","[45.1659648, -0.7898782999999999]"
"Bacigalupi Winery, US","4353 Westside Rd, Healdsburg, CA 95448, USA","[38.5598613, -122.8717485]"
"Boatique Winery, US","8255 Red Hills Rd, Kelseyville, CA 95451, USA","[38.915595, -122.7566221]"
"Brooklyn West Winery, US","4338, 201 3rd St, Oakland, CA 94607, United States","[37.7943798, -122.2705013]"
"Herzog Winery, US","3201 Camino Del Sol, Oxnard, CA 93030, USA","[34.2053663, -119.13042]"
"Château de Brigue Winery, France","2 Place Louis Pasteur, 83340 Le Luc, France","[43.392767, 6.311889]"
"Domaine de la Bégude Winery, France","La Bégude, 11300 Cépie, France","[43.1096272, 2.2214839]"
"Domaine de la Vallongue Winery, France","RD 24, 13810 Eygalières, France","[43.7547339, 4.9147319]"
"Domaines Ott Winery, France","Clos Mireille, Route du Fort de Brégançon, 83250 La Londe-les-Maures, France","[43.1288874, 6.271025900000001]"
"Elvio Cogno Winery, Italy","Località Ravera, 2, 12060 Novello CN, Italy","[44.594701, 7.9381747]"
"Fallbrook Winery, US","2554 Vía Rancheros, Fallbrook, CA 92028, USA","[33.342807, -117.204537]"
"Oak Farm Winery, US","9613, 23627 Devries Rd, Lodi, CA 95242, United States","[38.198697, -121.35424]"
"Paraiso Vineyards, US","38060 Paraiso Springs Rd, Soledad, CA 93960, USA","[36.378174, -121.3431324]"
"Salomon & Andrew Winery, New Zealand",New Zealand,"[-40.900557, 174.885971]"
"Lincourt Winery, US","1711 Alamo Pintado Rd, Solvang, CA 93463, USA","[34.6326813, -120.1212596]"
"Rotta Winery, US","250 Winery Rd, Templeton, CA 93465, USA","[35.55575049999999, -120.7478816]"
"Cebada Winery, US","8 E De La Guerra St, Santa Barbara, CA 93101, USA","[34.4199628, -119.6991443]"
"Davies Winery, US","1210 Grayson Ave, St Helena, CA 94574, USA","[38.4983541, -122.4622424]"
"Fiddlehead Winery, US","4942, 1597 E Chestnut Ave, Lompoc, CA 93436, United States","[34.64215, -120.438668]"
"Monte del Frà Winery, Italy","Via Custoza, 35, 37066 Sommacampagna VR, Italy","[45.388789, 10.825568]"
"Monte Faustino Winery, Italy","Via Bure Alto, 1, 37029 Bure VR, Italy","[45.52712959999999, 10.8719426]"
"Quinta Cruz Winery, US","334 Ingalls St, Santa Cruz, CA 95060, USA","[36.9590333, -122.0478487]"
"Café du Midi Winery, France","272 Boylston St, Boston, MA 02116, USA","[42.352039, -71.0694013]"
"Fat Gaucho Winery, Argentina","900 Chapel St, New Haven, CT 06510, USA","[41.3061448, -72.9267022]"
"Maison de la Villette Winery, France","1 Avenue du Château, 41700 Cheverny, France","[47.4994388, 1.4597591]"
"Le Pépin Winery, France","1420 3rd St, Pepin, WI 54759, USA","[44.4445158, -92.16264900000002]"
"Romantic Winery, France","7143 S Yale Ave, Tulsa, OK 74136, USA","[36.0601477, -95.9211605]"
"Arzuaga Winery, Spain","Ctra. N.122 Aranda-Valladolid, Km 325, 47350 Quintanilla de Onésimo, Valladolid, Spain","[41.62821, -4.323945999999999]"
"Region 1 Winery, Argentina","1301 E El Segundo Blvd #B, El Segundo, CA 90245, USA","[33.9167416, -118.4023297]"
"Château de Saint Martin Winery, France","Route des Arcs, 83460 Taradeau, France","[43.444206, 6.43316]"
"Tedeschi Family Winery, US","2779 Grant St, Calistoga, CA 94515, USA","[38.590246, -122.594045]"
"Quevedo Winery, Portugal","Vinoquel - Vinhos Oscar Quevedo, Quinta Sra do Rosário, São João da Pesqueira, Portugal","[41.139073, -7.394571]"
"Real Compañia de Vinos Winery, Spain","Camino el Monte, 8, 26350 Cenicero, La Rioja, Spain","[42.486284, -2.630881]"
"Domaine Chatelain Winery, France","3 Les Berthiers, 58150 Saint-Andelain, France","[47.3070236, 2.9506596]"
"Finca Flichman Winery, Argentina","Juramento 1775, C1428DNA, Buenos Aires, Argentina","[-34.5583529, -58.45092940000001]"
"Santa Ana Winery, Argentina","Julio Argentino Roca 4811, Mendoza, Argentina","[-32.8920141, -68.7760465]"
"Quinta Vale do Armo Winery, Portugal","Estrada de Entrevinhas, 2230-163 Sardoal, Portugal","[39.5398558, -8.1425003]"
"Bodega Atamisque Winery, Argentina","Ruta Provincial 86 Kilometro 30, 5561 San José, Tupungato, Mendoza, Argentina","[-33.281572, -69.138347]"
"Juan Gil Winery, Spain","Paraje de la Aragona, Carretera de Fuente Alamo, S/N, 30520 Jumilla, Murcia, Spain","[38.563188, -1.350314]"
"Mr. Riggs Winery, Australia","55a Main Rd, McLaren Flat SA 5171, Australia","[-35.2065364, 138.5878398]"
"Quinta do Pôpa Winery, Portugal","Estrada Nacional 222 Adorigo, 5120-011 Tabuaço, Portugal","[41.154973, -7.596959999999998]"
"Reyes Winery, US","10262 Sierra Hwy, Agua Dulce, CA 91390, USA","[34.5201544, -118.3128833]"
"Russian Ridge Winery, US","919 Washington St, San Carlos, CA 94070, USA","[37.498817, -122.244229]"
"Tercero Winery, US","2445 Alamo Pintado Ave #104, Los Olivos, CA 93441, USA","[34.665726, -120.114135]"
"Andrew Rich Winery, US","801 N Scott St, Carlton, OR 97111, USA","[45.300025, -123.182698]"
"Boas Quintas Winery, Portugal","Rua Quinta da Gandarada nº14, 3450-335, Portugal","[40.4070444, -8.2315357]"
"Cave Geisse Winery, Brazil","Linha Jansen, s/n - Zona Rural, Pinto Bandeira - RS, 95700-000, Brazil","[-29.139567, -51.42783799999999]"
"Château Bourdieu Winery, France","106 Myers St, Creston, OH 44217, USA","[40.975191, -81.90073149999999]"
"Château de Cranne Winery, France","1 Cranne N, 33410 Donzac, France","[44.64791959999999, -0.2438312]"
"Château de Lagarde Winery, France","3 Lagarde, 33540 Saint-Laurent-du-Bois, France","[44.6452724, -0.1530783]"
"Château Godard Bellevue Winery, France","33570 Francs, France","[44.9360207, -0.0114403]"
"Château Haut-Rian Winery, France","10 Labastide, 33410 Rions, France","[44.6667228, -0.3497038]"
"Château Landereau Winery, France","6 D671, 33670 Sadirac, France","[44.800303, -0.3899824000000001]"
"Tenuta Cavalier Pepe Winery, Italy","Via Francesco de Sanctis, 83040 Sant'Angelo All'esca AV, Italy","[40.995351, 14.992634]"
"Teruzzi & Puthod Winery, Italy","SP127, 53037 San Gimignano SI, Italy","[43.4927273, 11.0537035]"
"Triennes Winery, France","Le Logis de Nans, D560, 83860 Nans-les-Pins, France","[43.3926948, 5.789363100000001]"
"Winter's Hill Winery, US","Winter's Hill Estate, 6451 NE Hilltop Ln, Dayton, OR 97114, USA","[45.2578082, -123.0745701]"
"Highway 12 Winery, US","498 1st St E, Sonoma, CA 95476, USA","[38.2623817, -122.4419465]"
"Maquis Winery, Chile","Los Maquis, Palmilla, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-34.568106, -71.37254899999999]"
"Ernest & Julio Gallo Winery, US","2700 Coltrane Pl # 1, Edmond, OK 73034, USA","[35.6483182, -97.4443467]"
"Giornata Winery, US","470 Marquita Ave a, Paso Robles, CA 93446, USA","[35.574512, -120.689554]"
"Gotas de Mar Winery, Spain","Calle de la Muela, 16, 03737 Xàbia, Alicante, Spain","[38.7919649, 0.1274321]"
"Goyette Winery, US","201 Alameda del Prado, Novato, CA 94949, United States","[38.0493954, -122.5333985]"
"VinEcol Winery, Argentina","Km 901, RN7, Argentina","[-33.4475213, -67.54747340000002]"
"Origin Winery, Argentina","Sarmiento 212, Mendoza, Argentina","[-32.890193, -68.842388]"
"Belle Vallée Winery, US","804 NW Buchanan Ave, Corvallis, OR 97330, USA","[44.5738932, -123.2603414]"
"Foursight Winery, US","14475 CA-128, Boonville, CA 95415, USA","[39.005, -123.362589]"
"Ambiente Winery, Argentina","San Martín 1745, 5507 Mayor Drummond, Mendoza, Argentina","[-33.0232799, -68.87258469999999]"
"Azur Winery, US","2238 First Ave, Napa, CA 94558, USA","[38.318479, -122.254915]"
"Airlie Winery, US","15305 Dunn Forest Rd, Monmouth, OR 97361, USA","[44.727756, -123.344428]"
"Bodega Vistandes Winery, Argentina","Urquiza, 5517 Maipú, Mendoza, Argentina","[-33.024256, -68.758978]"
"2 Copas Winery, Argentina","Rosario, Santa Fe Province, Argentina","[-32.9463103, -60.6459038]"
"Espuela del Gaucho Winery, Argentina","500 Redwood Blvd, Novato, CA 94947, USA","[38.0738793, -122.5433875]"
"Além Winery, Portugal","Av. de Diogo Leite 344, 4400-111 Lagos, Portugal","[41.1380756, -8.6109043]"
"Bodega Carmine Granata Winery, Argentina","Alberti 570, M5507ATB Luján de Cuyo, Mendoza, Argentina","[-33.0211486, -68.88084409999999]"
"Copain Wines, US","7800 Eastside Rd, Healdsburg, CA 95448, USA","[38.51934130000001, -122.8494858]"
"Jigar Winery, US","6615 Front St, Forestville, CA 95436, USA","[38.473837, -122.8918848]"
"Judeka Winery, Italy","C.da San Mauro Sotto SP 39/II, Km 3.8, 95041 Caltagirone CT, Italy","[37.200696, 14.473068]"
"OS Winery, US","5319 4th Ave S, Seattle, WA 98108, USA","[47.55428080000001, -122.3299616]"
"Re Manfredi Winery, Italy","Via Gardesana, 13/15, 37017 Pastrengo VR, Italy","[45.4865362, 10.7898634]"
"Ross Andrew Winery, US","14810 NE 145th Street Suite A-2, Woodinville, WA 98072, USA","[47.7336042, -122.1415604]"
"Breathless Winery, US","499 Moore Ln, Healdsburg, CA 95448, USA","[38.6128214, -122.8757769]"
"Burnt Bridge Winery, US","1500 Broadway St, Vancouver, WA 98663, USA","[45.632805, -122.670702]"
"Chateau d'Angludet Winery, France","Château Angludet, 33460 Cantenac, France","[45.0151253, -0.6612161]"
"Château de la Cour Winery, France","Château de la Cour au Berruyer, 37190 Cheillé, France","[47.255873, 0.41027]"
"Château Fourcas-Borie Winery, France","12 Rue Odilon Redon, 33480 Listrac-Médoc, France","[45.0769319, -0.789723]"
"Château Haut Breton Larigaudière Winery, France","3 Rue des Anciens Combattants, 33460 Soussans, France","[45.0552699, -0.7017551]"
"Château Lanbersac Winery, France","33570 Puisseguin, France","[44.920996, -0.09235399999999999]"
"Château Lapinesse Winery, France","33420 Lugaignac, France","[44.810564, -0.1911898]"
"Château le Calvaire Winery, France","Lieu-dit, 33250 Pauillac, France","[45.2220015, -0.7677738000000001]"
"Château Marquis de Terme Winery, France","3 Route de Rauzan, 33460 Margaux, France","[45.038449, -0.677337]"
"Château Saint-Corbian Winery, France","2 Rue du Pigeonnier, 33180 Saint-Estèphe, France","[45.2668775, -0.7907571]"
"Domaine de Pellehaut Winery, France","32250 Montréal, France","[43.9719773, 0.176839]"
"Las Lomas Winery, Chile","Camino Lo Ovalle km. 2.8, Casablanca, Región de Valparaíso, Chile","[-33.288404, -71.38548999999999]"
"Tamaya Winery, Chile","Ovalle, Coquimbo Region, Chile","[-30.574422, -71.4123078]"
"Little Stone Vineyard, US","11000 S Woodland St, Olathe, KS 66061, USA","[38.928635, -94.8181795]"
"Château Bellevue Winery, France","5580 Route de Grisolles, 31620 Fronton, France","[43.8372067, 1.3161741]"
"Château Denisiane Winery, France","LD La Garrigue, 24240 Saussignac, France","[44.80656399999999, 0.328731]"
"Elios Winery, Greece",Greece,"[39.074208, 21.824312]"
"Grotta del Sole Winery, Italy","Via Spinelli, 2, 80010 Quarto NA, Italy","[40.8769105, 14.1074382]"
"Oberon Winery, US","Oberon Ct, Naples, FL 34105, USA","[26.200053, -81.763029]"
"Priest Ranch Winery, US","6490 Washington St, Yountville, CA 94599, USA","[38.400021, -122.359241]"
"Somerston Winery, US","3450 Sage Canyon Rd, St Helena, CA 94574, USA","[38.5062055, -122.2773652]"
"Bigi Winery, Italy","Via Ponte Giulio, 3, 05018 Orvieto TR, Italy","[42.7577309, 12.0651419]"
"Faiveley Winery, France","8 Rue du Tribourg, 21700 Nuits-Saint-Georges, France","[47.135866, 4.946523]"
"Feudo di Gulfa Winery, Italy","del 5038, Str. Cavaliere Bosco, 9, 95038 Santa Maria di Licodia CT, Italy","[37.6434359, 14.9114041]"
"Feudo Maccari Winery, Italy","Strada Provinciale 19 Noto-Pachino km 13,5, 96017 Noto, SR, Italy","[36.768551, 15.0751601]"
"Feudo Principi di Butera Winery, Italy","Feudo Principi di Butera, Contrada Deliella, 93011 Butera CL, Italy","[37.217077, 14.062553]"
"Lismore Range Winery, Australia","Lismore NSW 2480, Australia","[-28.8093154, 153.2882876]"
"Marchesi De Gregorio Winery, Italy","90046 Sirignano PA, Italy","[37.8912024, 12.9586334]"
"Hubert Meyer Winery, France","34 Route des Vins, 67650 Blienschwiller, France","[48.34153999999999, 7.4202656]"
"Cantine Rallo Winery, Italy","SP18, 91011 Alcamo TP, Italy","[37.9333499, 13.0398917]"
"Castellucci Miano Winery, Italy","Via Sicilia, 1, 90029 Valledolmo PA, Italy","[37.7445935, 13.8318515]"
"Tenute Girolamo Winery, Italy","Via Noci Zona, 314, 74015 Martina Franca TA, Italy","[40.723612, 17.243053]"
"Avia Winery, Slovenia",Slovenia,"[46.151241, 14.995463]"
"Barone Sergio Winery, Italy","SP26, 96018 Pachino SR, Italy","[36.7497779, 15.0402027]"
"Cantine Valenti Winery, Italy","Via Roma, 42, 95012 Passopisciaro CT, Italy","[37.8712951, 15.0376378]"
"Celler Bàrbara Forés Winery, Spain","Avinguda de València, 26b, 43780 Gandesa, Tarragona, Spain","[41.0530211, 0.4391488]"
"Château de Mirande Winery, France","CHATEAU LA ROSE COTES ROL 1 LAGARDE, 33330 Saint-Émilion, France","[44.911686, -0.154028]"
"Château Vartely Winery, Moldova","Strada Eliberării 170B, Orhei 3501, Moldova","[47.3805389, 28.8337575]"
"Le Fraghe Winery, Italy","Via Colombare, 3, 37010 Cavaion veronese VR, Italy","[45.5458835, 10.7931535]"
"MacMurray Estate Vineyards, US","9015 Westside Rd, Healdsburg, CA 95448, USA","[38.5219387, -122.897256]"
"Mira Winery, US","33410 Rancho California Rd, Temecula, CA 92591, USA","[33.5256355, -117.078026]"
"Narbona Winery, Uruguay","21, 70100 Carmelo, Departamento de Colonia, Uruguay","[-33.9237, -58.374792]"
"Offley Winery, Portugal","Rua do Choupelo 62, 4400-174 Vila Nova de Gaia, Portugal","[41.1356169, -8.614098799999999]"
"Ouled Thaleb Winery, Morocco",Morocco,"[31.791702, -7.092619999999999]"
"Podere Forte Winery, Italy","13 Localita' Pod. Petrucci, Castiglione D'orcia, Si 53023, Italy","[43.00804, 11.59475]"
"Stolpman Winery, US","2434 Alamo Pintado Ave, Los Olivos, CA 93441, USA","[34.665311, -120.114214]"
"Tenute Lunelli Winery, Italy","Vocabolo Castellaccio, 9, 06031 Bevagna PG, Italy","[42.968275, 12.562838]"
"Bel Vino Winery, US","4929, 33515 Rancho California Rd, Temecula, CA 92591, United States","[33.5239415, -117.0731784]"
"Bitner Winery, US","16645 Plum Rd, Caldwell, ID 83605, USA","[43.610646, -116.814748]"
"Bollinger Winery, France","16 Rue Jules Lobet, 51160 Ay, France","[49.05385709999999, 4.007795199999999]"
"Torii Mor Winery, US","18323 NE Fairview Dr, Dundee, OR 97115, USA","[45.288894, -123.046728]"
"Evesham Wood Winery, US","3795 Wallace Rd NW, Salem, OR 97304, USA","[44.98906239999999, -123.0784161]"
"De Saint Gall Winery, France","7 Rue Pasteur, 51190 Avize, France","[48.9726805, 4.0116888]"
"Bear Creek Winery, US","9440, 60203 Bear Creek Dr, Homer, AK 99603, United States","[59.6698362, -151.455592]"
"Heritage Road Winery, Australia","2428 Heritage Rd, Walla Walla, WA 99362, USA","[46.0683292, -118.3940899]"
"Robert Hunter Winery, US","15655 Arnold Dr, Sonoma, CA 95476, USA","[38.3353304, -122.5093909]"
"Stonecroft Winery, US","Vineyard St, Springfield, OH 45503, USA","[39.96207, -83.7712885]"
"Calvet Winery, France","2 Place Jean Jaurès, 33000 Bordeaux, France","[44.8428221, -0.5711968]"
"Tualatin Estate Winery, US","7703, 10850 NW Seavey Rd, Forest Grove, OR 97116, United States","[45.6006484, -123.1716836]"
"Cooper Mountain Winery, US","20121 SW Leonardo Ln, Beaverton, OR 97007, USA","[45.4505291, -122.88362]"
"Elk Cove Winery, US","27751 NW Olson Rd, Gaston, OR 97119, USA","[45.4152149, -123.1852316]"
"Moët & Chandon Winery, France","20 Avenue de Champagne, 51200 Épernay, France","[49.0429453, 3.9592346]"
"Principe Corsini Winery, Italy","Via San Piero di Sotto, 1, 50026 San Casciano in Val di pesa FI, Italy","[43.649897, 11.19515]"
"Abeja Winery, US","2014 Mill Creek Rd, Walla Walla, WA 99362, USA","[46.08832779999999, -118.2259626]"
"Ancestry Winery, US","19510 144th Ave NE Suite C-1, Woodinville, WA 98072, USA","[47.769236, -122.145427]"
"Bedell Winery, US","36225 NY-25, Cutchogue, NY 11935, USA","[41.0292393, -72.4689789]"
"Bodega San Pedro Regalado Winery, Spain","Carr. Aranda - Salas Infantes, s/n, 09370 La Aguilera, Burgos, Spain","[41.7285136, -3.7696269]"
"Cantalici L'Antica Fornace di Ridolfo Winery, Italy","SP77, 53013 Castagnoli SI, Italy","[43.4417086, 11.4585497]"
"Cedarville Vineyard, US","6320 Marestail Rd, Fair Play, CA 95684, USA","[38.5975116, -120.6730972]"
"Slingshot Winery, US","10207 E Us Highway 290, Fredericksburg, TX 78624, United States","[30.2231174, -98.7285457]"
"Tenuta di Arceno Winery, Italy","53010, Via Berardenga, 53019 San Gusmé SI, Italy","[43.3458222, 11.5033064]"
"Terras Gauda Winery, Spain","Estrada Xeral de Tui, 55, 36760 O Rosal, Pontevedra, Spain","[41.937655, -8.791765999999999]"
"Direder Winery, Austria","Mitterstockstall 1a, 3470 Kirchberg am Wagram, Austria","[48.4384632, 15.9115156]"
"Fattoria Il Lago Winery, Italy","Frazione Dicomano Campagna, 23, 50062 Dicomano FI, Italy","[43.909246, 11.529563]"
"Foundry Vineyards, US","1111 Abadie St, Walla Walla, WA 99362, USA","[46.0631619, -118.3564823]"
"Golan Heights Winery, Israel","Derekh ha-Yayin 4, Qatsrin","[32.9870413, 35.7076961]"
"Ruby Hill Winery, US","400 Vineyard Ave, Pleasanton, CA 94566, USA","[37.651442, -121.807061]"
"Sonoma River Winery, US","5700 CA-116, Forestville, CA 95436, USA","[38.465337, -122.883353]"
"Watermill Winery, US","1807, 235 E Broadway Ave, Milton-Freewater, OR 97862, United States","[45.93785099999999, -118.3910604]"
"Vigin Winery, Italy","Via Meruzzano, 33/A, 12050 Treiso CN, Italy","[44.6778323, 8.085278400000002]"
"Cooperativa Agricola de Santo Isidro de Pegoes Winery, Portugal","Rua Pereira Caldas nº 1, 2985-158, Portugal","[38.6853349, -8.659450099999999]"
"Domaine Laroche Winery, France","22 Rue Louis Bro, 89800 Chablis, France","[47.816225, 3.8003513]"
"Giuseppe Gabbas Winery, Italy","Strada Provinciale, 08025 Oliena NU, Italy","[40.2721691, 9.3613108]"
"Vins des Personnets Winery, France","71960 Davayé, France","[46.299492, 4.75477]"
"Wedell Cellars Winery, US","344 Equestrian Way, Arroyo Grande, CA 93420, USA","[35.1362568, -120.5971832]"
"Psagot Winery, Israel",,"[31.875292, 35.259176]"
"18401 Cellars Winery, US","18401 NE Ribbon Ridge Rd, Newberg, OR 97132, USA","[45.3496737, -123.0757244]"
"Angela Estate Winery, US","1326 OR-99W, Dundee, OR 97115, USA","[45.272464, -123.016162]"
"Arista Winery, US","7015 Westside Rd, Healdsburg, CA 95448, USA","[38.5237786, -122.870049]"
"Ascension Cellars Winery, US","12346 US-290, Fredericksburg, TX 78624, USA","[30.22167099999999, -98.693597]"
"Aubry Winery, France","6 Gr Grande Rue, 51390 Jouy-lès-Reims, France","[49.2151612, 3.9290894]"
"Brave & Maiden Winery, US","649 N Refugio Rd, Santa Ynez, CA 93460, USA","[34.600234, -120.102095]"
"Cartuxa Winery, Portugal","Q.ta de Valbom, 7001-901 Évora, Portugal","[38.585824, -7.91944]"
"Domaine Chenevières Winery, France","54122 Chenevières, France","[48.517242, 6.632555]"
"Oso Libre Winery, US","7383 Vineyard Dr, Paso Robles, CA 93446, USA","[35.59643, -120.8312081]"
"Panther Creek Winery, US","14455 Redmond-Woodinville Rd NE suite b, Woodinville, WA 98072, USA","[47.73161169999999, -122.1420825]"
"Pascal Doquet Winery, France","44 Chemin du Moulin de la Cense Bizet, 51130 Vertus, France","[48.905995, 4.024433]"
"Mas des Bressades Winery, France","30129 Manduel, France","[43.789397, 4.506165]"
"Brassfield Winery, US","10915 High Valley Rd, Clearlake Oaks, CA 95423, USA","[39.0462896, -122.709336]"
"Château du Seuil Winery, France","4690 Route du Seuil, 13540 Aix-en-Provence, France","[43.615923, 5.378032]"
"Cinnabar Winery, US","14612 Big Basin Way, Saratoga, CA 95070, USA","[37.255702, -122.036263]"
"Boedecker Cellars Winery, US","2621 NW 30th Ave, Portland, OR 97210, USA","[45.5406988, -122.7128257]"
"Rimauresq Winery, France","Quartier Rimaurets, 83790 Pignans, France","[43.2925165, 6.2400727]"
"T'Jara Winery, US","35 Cox Neck Rd, Mattituck, NY 11952, USA","[40.9886802, -72.55490879999999]"
"Urbina Winery, Spain","Calle Campillo, 33-35, 26214 Cuzcurrita de Río Tirón, La Rioja, Spain","[42.5395922, -2.9664478]"
"Villa di Corlo Winery, Italy","Str. Cavezzo, 200, 41126 Baggiovara MO, Italy","[44.5992, 10.83286]"
"Viña Mayor Winery, Spain","N-122, km 325,6, 47350 Quintanilla de Onésimo, Valladolid, Spain","[41.6238343, -4.3269702]"
"Les Domaines Auriol Winery, France","Z.I. Gaujac - BP 79 - 12, Rue Gustave Eiffel, 11200 Lézignan-Corbières, France","[43.1847359, 2.7484258]"
"Lorenzi Estate Winery, US","36095 Monte De Oro Rd, Temecula, CA 92592, USA","[33.5420218, -117.0287719]"
"Mar de Envero Winery, Spain","Rúa da Senra, 8, 15702 Santiago de Compostela, A Coruña, Spain","[42.8769374, -8.544592999999999]"
"Marqués de la Concordia Winery, Spain","Carretera de el Ciego, s/n, 26350 Cenicero, La Rioja, Spain","[42.4860401, -2.6330407]"
"Medici Ermete Winery, Italy","Via I. Newton, 13/a, 42124 Gaida RE, Italy","[44.7432232, 10.5028935]"
"Pascal Rollet Winery, France","Hameau de Pouilly, 71960 Solutré-Pouilly, France","[46.29206079999999, 4.739758999999999]"
"Domaine Sangouard-Guyot Winery, France","802, Route De Pierreclos, 71960 Vergisson, France","[46.31220099999999, 4.711425999999999]"
"Grande River Winery, US","787 Elberta Ave, Palisade, CO 81526, USA","[39.1172494, -108.3620988]"
"Herdade de São Miguel Winery, Portugal","São Miguel Island, Portugal","[37.780411, -25.4970466]"
"Canyon Wind Winery, US","3907 N River Rd, Palisade, CO 81526, USA","[39.11415909999999, -108.3259287]"
"Casa de Vila Verde Winery, Portugal","EM1189 51, 4730-596 Vila Verde, Portugal","[41.6341478, -8.4405886]"
"Sno Road Winery, US","111 W Main St, Echo, OR 97826, USA","[45.74235179999999, -119.1973703]"
"Summit Lake Winery, US","9778, 2000 Summit Lake Dr, Angwin, CA 94508, United States","[38.599305, -122.46083]"
"J. Moreau & Fils Winery, France","15 Route d'Auxerre, 89800 Chablis, France","[47.8152872, 3.7884097]"
"Compilation Winery, US","6808 US-24, Huntington, IN 46750, USA","[40.9295346, -85.38658029999999]"
"Dão Sul Winery, Portugal","Av. Nossa Sra. das Febres 126, 3430-039 Carregal do Sal, Portugal","[40.4253418, -8.0192069]"
"Domaine Michel Winery, France","2 Place du Chapitre, 21420 Aloxe-Corton, France","[47.0659122, 4.859501]"
"Baron Widmann Winery, Italy","Via Endergasse, 3, 39040 Cortaccia BZ, Italy","[46.3126505, 11.2214678]"
"Clos du Val Winery, US","5330 Silverado Trail, Napa, CA 94558, USA","[38.3872129, -122.3127035]"
